OBJECTID,inci_id,chrgdesc,date_occu,frmBlock,street,Address
83902,2018001482,LARCENY - SHOPLIFTING,2018-01-25T13:11:00.000Z,3900,WARDS RD,"3900 WARDS RD Lynchburg, VA"
83903,2018001491,ASSAULT/SIMPL/HSHLD,2018-01-25T14:35:00.000Z,1100,STRATFORD RD,"1100 STRATFORD RD Lynchburg, VA"
83904,2018001496,ASSAULT/SIMPLE,2018-01-25T15:45:00.000Z,7500,TIMBERLAKE RD,"7500 TIMBERLAKE RD Lynchburg, VA"
83905,2018001527,LARCENY - OTHER,2018-01-25T16:30:01.000Z,1000,ROBINS RD,"1000 ROBINS RD Lynchburg, VA"
83906,2018001501,LARCENY - SHOPLIFTING,2018-01-25T17:29:59.000Z,4000,WARDS RD,"4000 WARDS RD Lynchburg, VA"
83907,2018002820,LARCENY - VEHICLE PARTS,2018-01-26T00:00:00.000Z,1000,DANDRIDGE DR,"1000 DANDRIDGE DR Lynchburg, VA"
83908,2018001588,LARCENY - FROM VEHICLE,2018-01-26T06:30:00.000Z,3300,CANDLERS MOUNTAIN RD,"3300 CANDLERS MOUNTAIN RD Lynchburg, VA"
83909,2018001598,AUTO THEFT,2018-01-26T15:00:00.000Z,800,PIERCE ST,"0800 PIERCE ST Lynchburg, VA"
83910,2018001597,DUI,2018-01-26T17:59:59.000Z,4000,WARDS RD,"4000 WARDS RD Lynchburg, VA"
83911,2018001796,ASSAULT/SIMPLE,2018-01-26T22:00:00.000Z,1500,LAKESIDE DR,"1500 LAKESIDE DR Lynchburg, VA"
83912,2018002382,LARCENY - FROM VEHICLE,2018-01-27T00:00:00.000Z,4400,BOONSBORO RD,"4400 BOONSBORO RD Lynchburg, VA"
83913,2018001609,ASSAULT/SIMPLE,2018-01-27T06:55:00.000Z,2200,FLORIDA AVE,"2200 FLORIDA AVE Lynchburg, VA"
83914,2018001615,LARCENY - FROM VEHICLE,2018-01-27T11:24:01.000Z,1100,MCCONVILLE RD,"1100 MCCONVILLE RD Lynchburg, VA"
83915,2018001620,LARCENY - SHOPLIFTING,2018-01-27T18:37:48.000Z,4000,WARDS RD,"4000 WARDS RD Lynchburg, VA"
83916,2018001630,ASSAULT/SIMPLE,2018-01-27T21:08:00.000Z,2200,PARK AVE,"2200 PARK AVE Lynchburg, VA"
83917,2018001641,ASSAULT/SIMPL/HSHLD,2018-01-27T23:13:00.000Z,600,CHAMBERS ST,"0600 CHAMBERS ST Lynchburg, VA"
83918,2018001641,ASSAULT/AGGR/HSHLD,2018-01-27T23:13:00.000Z,600,CHAMBERS ST,"0600 CHAMBERS ST Lynchburg, VA"
83919,2018001643,LARCENY - VEHICLE PARTS,2018-01-27T23:30:00.000Z,1000,5TH ST,"1000 5TH ST Lynchburg, VA"
83920,2018001639,ASSAULT/SIMPLE,2018-01-28T00:23:24.000Z,4600,MURRAY PL,"4600 MURRAY PL Lynchburg, VA"
83921,2018001650,ASSAULT/SIMPL/HSHLD,2018-01-28T14:00:00.000Z,700,KENBRIDGE RD,"0700 KENBRIDGE RD Lynchburg, VA"
83922,2018001691,ASSAULT/SIMPLE,2018-01-28T18:00:00.000Z,800,GREENFIELD DR,"0800 GREENFIELD DR Lynchburg, VA"
83923,2018002331,ASSAULT/SIMPLE,2018-01-29T00:00:00.000Z,900,VIRGINIA ST,"0900 VIRGINIA ST Lynchburg, VA"
83924,2018001666,ASSAULT/ON POL OFFI,2018-01-29T01:22:00.000Z,2200,RIVERMONT AVE,"2200 RIVERMONT AVE Lynchburg, VA"
83925,2018001676,LARCENY - SHOPLIFTING,2018-01-29T06:44:00.000Z,2200,LAKESIDE DR,"2200 LAKESIDE DR Lynchburg, VA"
83926,2018001956,LARCENY - OTHER,2018-01-29T07:30:00.000Z,3300,OLD FOREST RD,"3300 OLD FOREST RD Lynchburg, VA"
83927,2018001685,ASSAULT/SIMPLE,2018-01-29T10:30:00.000Z,1200,POLK ST,"1200 POLK ST Lynchburg, VA"
83928,2018001711,LARCENY - OTHER,2018-01-29T14:50:32.000Z,600,PIERCE ST,"0600 PIERCE ST Lynchburg, VA"
83929,2018002037,LARCENY - FROM VEHICLE,2018-01-29T22:00:00.000Z,200,RIVERSIDE DR,"0200 RIVERSIDE DR Lynchburg, VA"
83930,2018001738,ASSAULT/SIMPLE,2018-01-29T22:09:00.000Z,400,HARRISON ST,"0400 HARRISON ST Lynchburg, VA"
83931,2018002577,LARCENY - OTHER,2018-01-30T00:00:00.000Z,300,NORTHWYND CIR,"0300 NORTHWYND CIR Lynchburg, VA"
83932,2018001743,LARCENY - OTHER,2018-01-30T04:24:48.000Z,3900,WARDS RD,"3900 WARDS RD Lynchburg, VA"
83933,2018001769,ASSAULT/SIMPLE,2018-01-30T14:40:00.000Z,1200,POLK ST,"1200 POLK ST Lynchburg, VA"
83934,2018001774,LARCENY - OTHER,2018-01-30T15:27:00.000Z,600,LEESVILLE RD,"0600 LEESVILLE RD Lynchburg, VA"
83935,2018001776,ASSAULT/AGGR/HSHLD,2018-01-30T17:44:52.000Z,1500,LONGVIEW RD,"1500 LONGVIEW RD Lynchburg, VA"
83936,2018001849,LARCENY - OTHER,2018-01-30T18:00:00.000Z,400,MAGNOLIA ST,"0400 MAGNOLIA ST Lynchburg, VA"
83937,2018001788,ASSAULT/SIMPL/HSHLD,2018-01-30T21:00:00.000Z,100,KETTERING LN,"0100 KETTERING LN Lynchburg, VA"
83938,2018001791,LARCENY - FROM VEHICLE,2018-01-30T22:13:19.000Z,1200,17TH ST,"1200 17TH ST Lynchburg, VA"
83939,2018001813,ASSAULT/SIMPLE,2018-01-31T00:00:00.000Z,3100,WARDS FERRY RD,"3100 WARDS FERRY RD Lynchburg, VA"
83940,2018001810,ASSAULT/SIMPL/HSHLD,2018-01-31T10:13:47.000Z,1700,OTEY ST,"1700 OTEY ST Lynchburg, VA"
83941,2018001901,LARCENY - OTHER,2018-01-31T21:45:00.000Z,200,ROCKWELL RD,"0200 ROCKWELL RD Lynchburg, VA"
